 PS_POSID PARVW PARNR
326 OEBX5732-01 Z8 12345432
327 OEBX5732-01 Z9 12345432
328 OEBX5732-01-01 Y3 12345432
329 OEBX5732-01-01 Z3 12000008
330 OEBX5732-01-01 Z4 12000008
331 OEBX5732-01-01 Z6 12000008
332 OEBX5732-01-01 Z1 12000008
333 OEBX5732-01-01 Z2 12000008
334 OEBX5732-01-01 Z8 12345432
335 OEBX5732-01-01 Z9 12345432
336 OEBX5732-01-01-01 Y3 12345432
337 OEBX5732-01-01-01 Z3 12000008
338 OEBX5732-01-01-01 Z4 12000008
339 OEBX5732-01-01-01 Z6 12000008
340 OEBX5732-01-01-01 Z1 12000008
341 OEBX5732-01-01-01 Z2 12000008
342 OEBX5732-01-01-01 Z8 12345432
343 OEBX5732-01-01-01 Z9 12345432
344 OEBX5732-01-01-01-1000 Y3 12345432
345 OEBX5732-01-01-01-1000 Z3 12000008
346 OEBX5732-01-01-01-1000 Z4 12000008
347 OEBX5732-01-01-01-1000 Z6 12000008
348 OEBX5732-01-01-01-1000 Z1 12000008
349 OEBX5732-01-01-01-1000 Z2 12000008
350 OEBX5732-01-01-01-1000 Z8 12345432
351 OEBX5732-01-01-01-1000 Z9 12345432
352 OEBX5732-01-01-01-NB10 Y3 12345432
353 OEBX5732-01-01-01-NB10 Z3 12000008
354 OEBX5732-01-01-01-NB10 Z4 12000008
355 OEBX5732-01-01-01-NB10 Z6 12000008
356 OEBX5732-01-01-01-NB10 Z1 12000008
357 OEBX5732-01-01-01-NB10 Z2 12000008
358 OEBX5732-01-01-01-NB10 Z8 12345432
359 OEBX5732-01-01-01-NB10 Z9 12345432
360 QSOX0516-01 Y3 12345432
361 QSOX0516-01 Z3 12110445
362 QSOX0516-01 Z4 12110445
363 QSOX0516-01 Z6 12110445
364 QSOX0516-01 Z1 12110445
365 QSOX0516-01 Z2 12110445
366 QSOX0516-01 Z8 12345432
367 QSOX0516-01 Z9 12345432
368 QSOX0516-01-01 Y3 12345432
369 QSOX0516-01-01 Z3 12110445
370 QSOX0516-01-01 Z4 12110445
371 QSOX0516-01-01 Z6 12110445
372 QSOX0516-01-01 Z1 12110445
373 QSOX0516-01-01 Z2 12110445
374 QSOX0516-01-01 Z8 12345432
375 QSOX0516-01-01 Z9 12345432
376 QSOX0516-01-01-01 Y3 12345432
377 QSOX0516-01-01-01 Z3 12110445
378 QSOX0516-01-01-01 Z4 12110445
379 QSOX0516-01-01-01 Z6 12110445
380 QSOX0516-01-01-01 Z1 12110445
381 QSOX0516-01-01-01 Z2 12110445
382 QSOX0516-01-01-01 Z8 12345432
383 QSOX0516-01-01-01 Z9 12345432
384 QSOX0516-01-01-01-1000 Y3 12345432
385 QSOX0516-01-01-01-1000 Z3 12110445
386 QSOX0516-01-01-01-1000 Z4 12110445
387 QSOX0516-01-01-01-1000 Z6 12110445
388 QSOX0516-01-01-01-1000 Z1 12110445
389 QSOX0516-01-01-01-1000 Z2 12110445
390 QSOX0516-01-01-01-1000 Z8 12345432
391 QSOX0516-01-01-01-1000 Z9 12345432
392 QSOX0516-01-01-01-NB10 Y3 12345432
393 QSOX0516-01-01-01-NB10 Z3 12110445
394 QSOX0516-01-01-01-NB10 Z4 12110445
395 QSOX0516-01-01-01-NB10 Z6 12110445
396 QSOX0516-01-01-01-NB10 Z1 12110445
397 QSOX0516-01-01-01-NB10 Z2 12110445
398 QSOX0516-01-01-01-NB10 Z8 12345432
399 QSOX0516-01-01-01-NB10 Z9 12345432
